Image_Url, Item_Name, Username, Rating_Score, Review_Description, Review_Date 
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,James Tan,3.0 ,the first one had a buzzing sound when turned on to charge my samsung phone.  the second one doesn't make any sound - for now.  oh they just sent two adapters separately without me asking for replacement - not sure why.,Reviewed in Singapore on 19 March 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,Andy Tan,5.0 ,A lot of fake samsung charger on sale' Buying from Amazon platform for authentic items is more secure.  Tested charge my note 20 ultra shows blue charging circle indicator is authentic....,Reviewed in Singapore on 1 November 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,Tan Y.,3.0 ,Pros: Products working well' sincere seller' prompt email replyNeutral: product took 6 days to reachCons: Didn't handle the financial issue promptly' seller took a week & a half to finally settle it,Reviewed in Singapore on 21 April 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,Bernard Ng,5.0 ,Charger outweighed my expectations and was capable of Super Fast Charging. Initially I thought I would get the higher end 75W travel adapter but this one is cheaper and still achieves Super Fast Charging.,Reviewed in Singapore on 2 April 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,Suren,5.0 ,The media could not be loaded.
                




   Working goodSuper Fast Charging supposedOriginal productNext day delivery🌟⭐🌟⭐🌟⭐Recommended seller ⭐🌟⭐🌟⭐,Reviewed in Singapore on 17 August 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,YeboyEJ,5.0 ,Works well fast charging!,Reviewed in Singapore on 18 November 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,LC,5.0 ,Authentic,Reviewed in Singapore on 28 July 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,Ms T,5.0 ,1. Next day delivery. Received item the next day.2. Super fast charging. With around 40% battery left' charging took less than 30 mins.,Reviewed in Singapore on 17 September 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,Amazon Customer,5.0 ,Very happy with the service from placing order to receiving the goods.,Reviewed in Singapore on 15 November 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,FR,5.0 ,Item is authentic. Able to super fast charge S21 and fast charge Iphone 13.,Reviewed in Singapore on 1 October 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,Lionel,5.0 ,Authentic plug and fast delivery,Reviewed in Singapore on 1 November 2021
https://m.media-amazon.com/images/I/214cOlKM6PL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,tian weiliang willie,5.0 ,Fast delivery. Gd product,Reviewed in Singapore on 30 November 2021
